Title,Creator,Viewers,Language,User Link,Avatar Link,Thumbnail Link
ZED99,ZED99_lol,367,한국어,https://www.twitch.tv/zed99_lol,https://static-cdn.jtvnw.net/jtv_user_pictures/2b8b5d3c-c1c5-4d8c-8bb1-19c081e96713-profile_image-50x50.png,https://static-cdn.jtvnw.net/previews-ttv/live_user_zed99_lol-440x248.jpg
打個幾場,賊克 (jackeisammy),117,約德爾人,https://www.twitch.tv/jackeisammy,https://static-cdn.jtvnw.net/jtv_user_pictures/ea21097b-ef3d-4faa-bd8b-a0f48f785b90-profile_image-50x50.jpeg,https://static-cdn.jtvnw.net/previews-ttv/live_user_jackeisammy-440x248.jpg
Spieltag 2 - 1. Liga | Summer Split 2024 | TK PRM,PrimeLeague,671,Wiederholen,https://www.twitch.tv/primeleague,https://static-cdn.jtvnw.net/jtv_user_pictures/6fb2f043-65c7-4dc0-b1bb-dac1081523c0-profile_image-50x50.png,https://static-cdn.jtvnw.net/previews-ttv/live_user_primeleague-440x248.jpg
MESTRE ATE FINAL DA LIVE,YoDa,5700,YoDa,https://www.twitch.tv/yoda,https://static-cdn.jtvnw.net/jtv_user_pictures/e5e89aba-723b-4ba1-852c-d8fba19b1da1-profile_image-50x50.png,https://static-cdn.jtvnw.net/previews-ttv/live_user_yoda-440x248.jpg
KOREAN MOVEMENT SPEED ORNN ALOIS NAAYIL AND MAKKOR VS ALL OF KOREA INSANE MOMENTS END MY SUFFERING. !trackdiff !buffs !opgg !korea,Makkro0,279,Blacksmithing,https://www.twitch.tv/makkro0,https://static-cdn.jtvnw.net/jtv_user_pictures/039e8351-32f1-46a9-8474-ba909525ee7c-profile_image-50x50.png,https://static-cdn.jtvnw.net/previews-ttv/live_user_makkro0-440x248.jpg
翡翠場尋真愛,我庭 (wtchaccc),73,超級士乓,https://www.twitch.tv/wtchaccc,https://static-cdn.jtvnw.net/jtv_user_pictures/2e055951-8a6a-47df-9bbd-88283868ca80-profile_image-50x50.png,https://static-cdn.jtvnw.net/previews-ttv/live_user_wtchaccc-440x248.jpg
d tier champ :D full tryhard on main 9-1 | CHALLENGER EUW RANK #1 KATARINA (no mic) | !Skin !Patreon,Nyro,371,Rank1,https://www.twitch.tv/nyro,https://static-cdn.jtvnw.net/jtv_user_pictures/b4b1ac57-c1a5-4bec-838f-e7a99a651f93-profile_image-50x50.png,https://static-cdn.jtvnw.net/previews-ttv/live_user_nyro-440x248.jpg
523快樂,顏瑄 (xuann31),36,中文,https://www.twitch.tv/xuann31,https://static-cdn.jtvnw.net/jtv_user_pictures/4c496d95-d8a0-4940-8aea-3d23a18dc157-profile_image-50x50.png,https://static-cdn.jtvnw.net/previews-ttv/live_user_xuann31-440x248.jpg
【🍑0523】小號翡翠爬爬分 ｜ 自主訂閱 + 掛台禮包 ♡ !心結 !愛淘淘,王淘淘 (taotao_0),116,中文,https://www.twitch.tv/taotao_0,https://static-cdn.jtvnw.net/jtv_user_pictures/5b464724-6a03-483f-916e-813384b1931f-profile_image-50x50.png,https://static-cdn.jtvnw.net/previews-ttv/live_user_taotao_0-440x248.jpg
星星 ⭐ 5/23 好玩遊戲一直玩,星星子 (starstar2012),45,中文,https://www.twitch.tv/starstar2012,https://static-cdn.jtvnw.net/jtv_user_pictures/1b4137f9-76d1-4735-b69c-a9416242f7a1-profile_image-50x50.png,https://static-cdn.jtvnw.net/previews-ttv/live_user_starstar2012-440x248.jpg
brohan vs world season 14.,BROHAN,177,Yasuo,https://www.twitch.tv/brohan,https://static-cdn.jtvnw.net/jtv_user_pictures/af974a1a-0fd8-4b3f-9ab1-5341116d207e-profile_image-50x50.png,https://static-cdn.jtvnw.net/previews-ttv/live_user_brohan-440x248.jpg
做人不要太攀比 要比就比誰早起 5/23,大意すき (da1179),20,好啊好啊,https://www.twitch.tv/da1179,https://static-cdn.jtvnw.net/jtv_user_pictures/d8f90026-cca0-41ad-91b9-f9453b2b8bf5-profile_image-50x50.png,https://static-cdn.jtvnw.net/previews-ttv/live_user_da1179-440x248.jpg
🔴 ESPECIAL MSI 🔴 🌴 SCRIM IDL amanhã 19:00 !lendas [RETRANSMISSÃO] !status,Baiano,1300,CBLOL,https://www.twitch.tv/baiano,https://static-cdn.jtvnw.net/jtv_user_pictures/05396d4d-7af0-4b9b-8c7e-c03563b4d448-profile_image-50x50.png,https://static-cdn.jtvnw.net/previews-ttv/live_user_baiano-440x248.jpg
TRYNDAMERE TO CHALLENGER BEST BUILD TO WIN type !Build !coaching !spreadsheet,foggedftw2,562,English,https://www.twitch.tv/foggedftw2,https://static-cdn.jtvnw.net/jtv_user_pictures/475b4bc3-15e4-40f0-b002-a485ab289822-profile_image-50x50.png,https://static-cdn.jtvnw.net/previews-ttv/live_user_foggedftw2-440x248.jpg
今天耍費亂聊,萌萌懂懂 (flyq1127),13,藝術創作,https://www.twitch.tv/flyq1127,https://static-cdn.jtvnw.net/jtv_user_pictures/a00c074e-a2bd-4299-b278-71e6c11f7a9e-profile_image-50x50.png,https://static-cdn.jtvnw.net/previews-ttv/live_user_flyq1127-440x248.jpg
3 WINS FROM RANK 1 (JUNGLE IS OP AGAIN) !NEWS,Sheiden,1000,Autism,https://www.twitch.tv/sheiden,https://static-cdn.jtvnw.net/jtv_user_pictures/8da38efc-97b5-4e98-8006-badb90e4a57a-profile_image-50x50.png,https://static-cdn.jtvnw.net/previews-ttv/live_user_sheiden-440x248.jpg
A CIÊNCIA nunca descansa 🧪 SoloQ SUPER SERVIDOR 🔥 !PIX !RIVALRY !LENDAS !DISCORD !LOJA 2x pra subs,Mylonzete,2400,Português,https://www.twitch.tv/mylonzete,https://static-cdn.jtvnw.net/jtv_user_pictures/mylonzete-profile_image-db23c2eb385eab8c-50x50.jpeg,https://static-cdn.jtvnw.net/previews-ttv/live_user_mylonzete-440x248.jpg
[克斯][5/23] RITO麻煩把JAX的Q改成指向技，謝謝!,只要克斯身上有眼 (muhaha0325),23,Muhaha,https://www.twitch.tv/muhaha0325,https://static-cdn.jtvnw.net/jtv_user_pictures/e2d948a35e74e671-profile_image-50x50.png,https://static-cdn.jtvnw.net/previews-ttv/live_user_muhaha0325-440x248.jpg
"KOREA SERVER ACCOUNT MMR ALMOST FIXED, WE ARE HITTING GOLD TODAY AND PLAT TOMORROW! KOREA SERVER SILVER TO CHALLENGER PUSH !holzkern",Lacari,1700,Anime,https://www.twitch.tv/lacari,https://static-cdn.jtvnw.net/jtv_user_pictures/lacari-profile_image-decef76ca583dfaa-50x50.png,https://static-cdn.jtvnw.net/previews-ttv/live_user_lacari-440x248.jpg
O maior trepador de móveis de escritório !bootcamp !clip !pix !ad !social !youtube,ClovaoBengala,1000,Português,https://www.twitch.tv/clovaobengala,https://static-cdn.jtvnw.net/jtv_user_pictures/27960e71-1a62-41a0-83ed-7aa9665d024b-profile_image-50x50.png,https://static-cdn.jtvnw.net/previews-ttv/live_user_clovaobengala-440x248.jpg
